driver_id,gender,age,number_of_kids,date,ping_count,hours_online_float,hours_online,day_of_week,day_of_week_name
979863,MALE,26,2,2017-06-01,1936,8.066666666666666,8.0,3,Thursday
979863,MALE,26,2,2017-06-02,2549,10.620833333333334,11.0,4,Friday
979863,MALE,26,2,2017-06-03,2119,8.829166666666667,9.0,5,Saturday
979863,MALE,26,2,2017-06-04,1948,8.116666666666667,8.0,6,Sunday
979863,MALE,26,2,2017-06-06,2370,9.875,10.0,1,Tuesday
979863,MALE,26,2,2017-06-07,1528,6.366666666666666,6.0,2,Wednesday
979863,MALE,26,2,2017-06-08,1861,7.754166666666666,8.0,3,Thursday
979863,MALE,26,2,2017-06-09,1592,6.633333333333334,7.0,4,Friday
979863,MALE,26,2,2017-06-10,1609,6.704166666666667,7.0,5,Saturday
979863,MALE,26,2,2017-06-12,2174,9.058333333333334,9.0,0,Monday
979863,MALE,26,2,2017-06-13,1635,6.8125,7.0,1,Tuesday
979863,MALE,26,2,2017-06-14,1503,6.2625,6.0,2,Wednesday
979863,MALE,26,2,2017-06-15,1688,7.033333333333333,7.0,3,Thursday
979863,MALE,26,2,2017-06-16,1394,5.808333333333334,6.0,4,Friday
979863,MALE,26,2,2017-06-17,1572,6.55,7.0,5,Saturday
979863,MALE,26,2,2017-06-18,2348,9.783333333333333,10.0,6,Sunday
979863,MALE,26,2,2017-06-19,1555,6.479166666666667,6.0,0,Monday
979863,MALE,26,2,2017-06-20,1697,7.070833333333334,7.0,1,Tuesday
979863,MALE,26,2,2017-06-21,1619,6.745833333333334,7.0,2,Wednesday
780123,MALE,60,2,2017-06-01,890,3.7083333333333335,4.0,3,Thursday
780123,MALE,60,2,2017-06-02,419,1.7458333333333333,2.0,4,Friday
780123,MALE,60,2,2017-06-05,518,2.158333333333333,2.0,0,Monday
780123,MALE,60,2,2017-06-06,358,1.4916666666666667,1.0,1,Tuesday
780123,MALE,60,2,2017-06-08,590,2.4583333333333335,2.0,3,Thursday
780123,MALE,60,2,2017-06-09,472,1.9666666666666666,2.0,4,Friday
780123,MALE,60,2,2017-06-12,344,1.4333333333333333,1.0,0,Monday
780123,MALE,60,2,2017-06-13,180,0.75,1.0,1,Tuesday
780123,MALE,60,2,2017-06-15,654,2.725,3.0,3,Thursday
780123,MALE,60,2,2017-06-19,280,1.1666666666666667,1.0,0,Monday
780123,MALE,60,2,2017-06-20,609,2.5375,3.0,1,Tuesday
614848,MALE,45,4,2017-06-01,479,1.9958333333333333,2.0,3,Thursday
614848,MALE,45,4,2017-06-02,470,1.9583333333333333,2.0,4,Friday
614848,MALE,45,4,2017-06-03,1878,7.825,8.0,5,Saturday
