date,driver_id,gender,age,number_of_kids,online_hours,day_of_week,day_of_week_name
2017-06-01,111556,0,49,4,1.8208333333333333,3,Thursday
2017-06-02,111556,0,49,4,2.05,4,Friday
2017-06-03,111556,0,49,4,0.0,5,Saturday
2017-06-04,111556,0,49,4,0.0,6,Sunday
2017-06-05,111556,0,49,4,3.8125,0,Monday
2017-06-06,111556,0,49,4,2.470833333333333,1,Tuesday
2017-06-07,111556,0,49,4,2.1458333333333335,2,Wednesday
2017-06-08,111556,0,49,4,2.6,3,Thursday
2017-06-09,111556,0,49,4,3.6458333333333335,4,Friday
2017-06-10,111556,0,49,4,0.0,5,Saturday
2017-06-11,111556,0,49,4,0.0,6,Sunday
2017-06-12,111556,0,49,4,3.0083333333333333,0,Monday
2017-06-13,111556,0,49,4,3.5416666666666665,1,Tuesday
2017-06-14,111556,0,49,4,1.5708333333333333,2,Wednesday
2017-06-15,111556,0,49,4,0.8208333333333333,3,Thursday
2017-06-16,111556,0,49,4,0.0,4,Friday
2017-06-17,111556,0,49,4,0.0,5,Saturday
2017-06-18,111556,0,49,4,0.0,6,Sunday
2017-06-19,111556,0,49,4,0.4,0,Monday
2017-06-20,111556,0,49,4,1.7291666666666667,1,Tuesday
2017-06-21,111556,0,49,4,2.5416666666666665,2,Wednesday
2017-06-01,111575,1,49,0,5.725,3,Thursday
2017-06-02,111575,1,49,0,0.0,4,Friday
2017-06-03,111575,1,49,0,0.0,5,Saturday
2017-06-04,111575,1,49,0,0.0,6,Sunday
2017-06-05,111575,1,49,0,3.3291666666666666,0,Monday
2017-06-06,111575,1,49,0,6.058333333333334,1,Tuesday
2017-06-07,111575,1,49,0,7.091666666666667,2,Wednesday
2017-06-08,111575,1,49,0,4.7625,3,Thursday
2017-06-09,111575,1,49,0,0.0,4,Friday
2017-06-10,111575,1,49,0,0.0,5,Saturday
2017-06-11,111575,1,49,0,0.0,6,Sunday
2017-06-12,111575,1,49,0,5.4875,0,Monday
2017-06-13,111575,1,49,0,6.1875,1,Tuesday
2017-06-14,111575,1,49,0,6.0125,2,Wednesday
2017-06-15,111575,1,49,0,6.020833333333333,3,Thursday
2017-06-16,111575,1,49,0,0.0,4,Friday
2017-06-17,111575,1,49,0,0.0,5,Saturday
2017-06-18,111575,1,49,0,0.0,6,Sunday
2017-06-19,111575,1,49,0,7.933333333333334,0,Monday
2017-06-20,111575,1,49,0,6.65,1,Tuesday
2017-06-21,111575,1,49,0,5.05,2,Wednesday
2017-06-01,111779,1,26,0,2.9916666666666667,3,Thursday
2017-06-02,111779,1,26,0,2.9125,4,Friday
2017-06-03,111779,1,26,0,0.0,5,Saturday
2017-06-04,111779,1,26,0,0.0,6,Sunday
2017-06-05,111779,1,26,0,0.0,0,Monday
2017-06-06,111779,1,26,0,2.8583333333333334,1,Tuesday
2017-06-07,111779,1,26,0,1.4666666666666666,2,Wednesday
2017-06-08,111779,1,26,0,3.845833333333333,3,Thursday
2017-06-09,111779,1,26,0,1.4125,4,Friday
2017-06-10,111779,1,26,0,0.0,5,Saturday
2017-06-11,111779,1,26,0,0.0,6,Sunday
2017-06-12,111779,1,26,0,0.0,0,Monday
2017-06-13,111779,1,26,0,1.9,1,Tuesday
2017-06-14,111779,1,26,0,4.345833333333333,2,Wednesday
2017-06-15,111779,1,26,0,1.5666666666666667,3,Thursday
2017-06-16,111779,1,26,0,3.629166666666667,4,Friday
2017-06-17,111779,1,26,0,0.0,5,Saturday
2017-06-18,111779,1,26,0,0.0,6,Sunday
2017-06-19,111779,1,26,0,0.0,0,Monday
2017-06-20,111779,1,26,0,2.8375,1,Tuesday
2017-06-21,111779,1,26,0,3.345833333333333,2,Wednesday
2017-06-01,111839,1,25,0,7.120833333333334,3,Thursday
2017-06-02,111839,1,25,0,7.333333333333333,4,Friday
2017-06-03,111839,1,25,0,6.804166666666666,5,Saturday
